wx,wy,wz,dx,dy,dz,tot,sel,cols,collision,cdens,radius,vx,vy,vz,px,py,pz
1,1,1,377857,1,1,377856,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,394241,1,1,394240,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,410625,1,1,410624,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,427009,1,1,427008,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,443393,1,1,443392,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,459777,1,1,459776,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,476161,1,1,476160,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,492545,1,1,492544,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,508929,1,1,508928,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,525313,1,1,525312,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,541697,1,1,541696,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,558081,1,1,558080,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,574465,1,1,574464,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,590849,1,1,590848,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,607233,1,1,607232,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,623617,1,1,623616,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,640001,1,1,640000,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,656385,1,1,656384,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,672769,1,1,672768,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,689153,1,1,689152,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,705537,1,1,705536,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,721921,1,1,721920,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,738305,1,1,738304,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,754689,1,1,754688,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,771073,1,1,771072,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,787457,1,1,787456,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,803841,1,1,803840,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,820225,1,1,820224,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,836609,1,1,836608,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,852993,1,1,852992,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,869377,1,1,869376,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,885761,1,1,885760,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,902145,1,1,902144,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,918529,1,1,918528,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,934913,1,1,934912,s,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,951297,1,1,951296,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,967681,1,1,967680,,15,0,0.5,0.2,0,0,0,0,0,0
1,1,1,984065,1,1,984064,,15,0,0.5,0.2,0,0,0,0,0,0
