P,t,iter,vx,vy,pen_factor,v_mag,vel_mag_in,v_coll,v_ang,imomx,imomy,imom,tot_area,cur_area,area_diff,vx_rel,vy_rel,v_rel,col_acc_x,col_acc_y,col_acc_mag
1,0.1290,43,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1320,44,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1350,45,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1380,46,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1410,47,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1440,48,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1470,49,-0.5000,0.5000,0.00000000,0.70710678,0.00000000,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1500,50,-0.5000,0.5000,0.00000000,0.70710678,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1530,51,-0.4999,0.4999,0.00000000,0.70700168,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.1560,52,-0.4987,0.4987,0.00000000,0.70529405,0.70710678,0.0000,2.3562,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
